,id,name,num_territories,region,region_id,Country Name,net_migration_2012,net_imports_2012,net_imports_2013,net_imports_2014,net_imports_2015,net_imports_2016,net_exports_2012,net_exports_2013,net_exports_2014,net_exports_2015,net_exports_2016
35,15,Bosnia and Herzegovina,4,Europe & Eurasia,2,Bosnia and Herzegovina,-161371,55.85773786,54.17788935,56.79585446,53.5739003,,32.38235861,33.7875133,34.13704383,34.5800762,
36,19,British Virgin Islands,0,Europe & Eurasia,2,British Virgin Islands,,,,,,,,,,,
37,51,Georgia,0,Europe & Eurasia,2,Georgia,-305269,57.79832477,57.6413824,60.4701484,62.27022682,59.12631025,38.15052258,44.68923236,42.9436172,44.73795666,43.48139071
38,70,Kosovo,0,Europe & Eurasia,2,Kosovo,,54.12126625,49.60106633,51.2168837,51.15886627,51.10528163,23.34821872,21.90098936,22.50202066,21.93752798,22.49494561
39,75,Macedonia,0,Europe & Eurasia,2,"Macedonia, FYR",-8853,66.8405817,61.46075542,64.87507368,65.02615363,63.7972083,45.37446727,43.39647453,47.66285529,48.80302379,49.24448949
40,84,"Moldova, Republic of",0,Europe & Eurasia,2,Moldova,-9529,83.94184084,80.5959606,78.52655065,73.86340086,71.75804605,43.48291631,43.34394588,41.53324409,42.80452992,43.62704126
41,86,Montenegro,0,Europe & Eurasia,2,Montenegro,-3112,68.09358298,61.42857015,59.9839152,61.06850875,65.66505585,43.67249667,41.34236,40.1437048,42.4640815,42.23446128
42,106,Russia,0,Europe & Eurasia,2,Russian Federation,1017884,20.59994942,21.01040174,20.64592236,20.60382135,20.55445141,27.38033591,26.62654328,27.05302069,28.66724664,25.71287979
43,114,Serbia,0,Europe & Eurasia,2,Serbia,-99999,53.59663558,51.90930335,54.22296236,56.42636501,58.24557614,36.92831816,41.20036372,43.37590345,46.67367451,50.91472969
44,133,Turkey,0,Europe & Eurasia,2,Turkey,1627172,28.57794395,28.07806937,27.64976944,25.9577521,25.02274136,23.66736586,22.27225514,23.76433477,23.33112657,22.05851325
45,137,Ukraine,0,Europe & Eurasia,2,Ukraine,-200000,56.37228415,52.19294594,52.09882067,54.48398426,55.51934347,35.41546087,42.95671984,48.59296182,52.59767951,49.28809466
46,3,Algeria,0,Middle East & North Africa,3,Algeria,-143268,28.51601398,30.3967957,31.9008347,36.78928849,34.41204864,36.89259508,33.20538608,30.46299675,23.56447598,23.71252171
47,9,Bahrain,0,Middle East & North Africa,3,Bahrain,42000,83.74172054,86.1203405,79.5138994,71.65488084,,102.1472547,103.6629237,96.05075125,84.58283632,
48,43,Egypt,0,Middle East & North Africa,3,"Egypt, Arab Rep.",-275026,24.31480265,23.35519243,22.67605634,21.66209747,19.6027028,16.39696662,17.01784562,14.24413146,13.18384549,10.3533582
49,63,Iran,0,Middle East & North Africa,3,"Iran, Islamic Rep.",-400001,20.73196886,19.78845406,18.89420978,19.27391635,,22.36089636,27.47387386,24.16879394,19.74338557,
